TrainingFile,DBFile,DTWDistance
training_set\Sheli\4.wav,class_reprentative\Tamir\3.wav,20.932675746269524
training_set\Sheli\4.wav,class_reprentative\Tamir\4.wav,8.36923967115581
training_set\Sheli\4.wav,class_reprentative\Tamir\5.wav,13.380574066191912
training_set\Sheli\4.wav,class_reprentative\Tamir\6.wav,30.97658258676529
training_set\Sheli\4.wav,class_reprentative\Tamir\7.wav,12.476821028627455
training_set\Sheli\4.wav,class_reprentative\Tamir\8.wav,16.73803320620209
training_set\Sheli\4.wav,class_reprentative\Tamir\9.wav,21.283455008640885
training_set\Sheli\5.wav,class_reprentative\Tamir\0.wav,17.32002880424261
training_set\Sheli\5.wav,class_reprentative\Tamir\1.wav,14.673973274417222
training_set\Sheli\5.wav,class_reprentative\Tamir\2.wav,22.858663422055542
training_set\Sheli\5.wav,class_reprentative\Tamir\3.wav,21.05567793175578
training_set\Sheli\5.wav,class_reprentative\Tamir\4.wav,10.405814008787274
training_set\Sheli\5.wav,class_reprentative\Tamir\5.wav,11.662384824827313
training_set\Sheli\5.wav,class_reprentative\Tamir\6.wav,24.050102499313653
training_set\Sheli\5.wav,class_reprentative\Tamir\7.wav,13.29058503638953
training_set\Sheli\5.wav,class_reprentative\Tamir\8.wav,15.221728632226586
training_set\Sheli\5.wav,class_reprentative\Tamir\9.wav,19.390141407959163
training_set\Sheli\6.wav,class_reprentative\Tamir\0.wav,15.431085320189595
training_set\Sheli\6.wav,class_reprentative\Tamir\1.wav,7.615022872574627
training_set\Sheli\6.wav,class_reprentative\Tamir\2.wav,6.921359055675566
training_set\Sheli\6.wav,class_reprentative\Tamir\3.wav,6.916017149575055
training_set\Sheli\6.wav,class_reprentative\Tamir\4.wav,8.159174218773842
training_set\Sheli\6.wav,class_reprentative\Tamir\5.wav,7.540597913786769
training_set\Sheli\6.wav,class_reprentative\Tamir\6.wav,9.624694590456784
training_set\Sheli\6.wav,class_reprentative\Tamir\7.wav,14.312917429953814
training_set\Sheli\6.wav,class_reprentative\Tamir\8.wav,6.700549738481641
training_set\Sheli\6.wav,class_reprentative\Tamir\9.wav,18.336535709910095
training_set\Sheli\7.wav,class_reprentative\Tamir\0.wav,24.298125382512808
training_set\Sheli\7.wav,class_reprentative\Tamir\1.wav,23.29032823536545
training_set\Sheli\7.wav,class_reprentative\Tamir\2.wav,32.496641052886844
training_set\Sheli\7.wav,class_reprentative\Tamir\3.wav,30.791964049451053
training_set\Sheli\7.wav,class_reprentative\Tamir\4.wav,17.819155106320977
training_set\Sheli\7.wav,class_reprentative\Tamir\5.wav,19.627346561290324
training_set\Sheli\7.wav,class_reprentative\Tamir\6.wav,34.07718638051301
training_set\Sheli\7.wav,class_reprentative\Tamir\7.wav,21.981128172017634
training_set\Sheli\7.wav,class_reprentative\Tamir\8.wav,24.110698657110333
training_set\Sheli\7.wav,class_reprentative\Tamir\9.wav,31.168565086089075
training_set\Sheli\8.wav,class_reprentative\Tamir\0.wav,16.391232651658356
training_set\Sheli\8.wav,class_reprentative\Tamir\1.wav,13.891888809390366
training_set\Sheli\8.wav,class_reprentative\Tamir\2.wav,19.211492928676307
training_set\Sheli\8.wav,class_reprentative\Tamir\3.wav,17.208188551478088
training_set\Sheli\8.wav,class_reprentative\Tamir\4.wav,12.225690607912838
training_set\Sheli\8.wav,class_reprentative\Tamir\5.wav,13.318583398126066
training_set\Sheli\8.wav,class_reprentative\Tamir\6.wav,20.424447250552475
training_set\Sheli\8.wav,class_reprentative\Tamir\7.wav,15.833163930103183
training_set\Sheli\8.wav,class_reprentative\Tamir\8.wav,14.50255938526243
training_set\Sheli\8.wav,class_reprentative\Tamir\9.wav,19.07585124950856
training_set\Sheli\9.wav,class_reprentative\Tamir\0.wav,17.088620918802917
training_set\Sheli\9.wav,class_reprentative\Tamir\1.wav,18.955340181477368
training_set\Sheli\9.wav,class_reprentative\Tamir\2.wav,28.551152537576854
training_set\Sheli\9.wav,class_reprentative\Tamir\3.wav,24.86922687664628
training_set\Sheli\9.wav,class_reprentative\Tamir\4.wav,17.487316514365375
training_set\Sheli\9.wav,class_reprentative\Tamir\5.wav,19.91111522912979
training_set\Sheli\9.wav,class_reprentative\Tamir\6.wav,26.512858206406236
training_set\Sheli\9.wav,class_reprentative\Tamir\7.wav,18.862262181006372
training_set\Sheli\9.wav,class_reprentative\Tamir\8.wav,21.280565455555916
training_set\Sheli\9.wav,class_reprentative\Tamir\9.wav,20.21086116693914
training_set\Ron\0.wav,class_reprentative\Tamir\0.wav,17.572691465727985
training_set\Ron\0.wav,class_reprentative\Tamir\1.wav,24.68906775303185
training_set\Ron\0.wav,class_reprentative\Tamir\2.wav,48.2310343189165
training_set\Ron\0.wav,class_reprentative\Tamir\3.wav,42.720760385505855
training_set\Ron\0.wav,class_reprentative\Tamir\4.wav,22.1632264778018
training_set\Ron\0.wav,class_reprentative\Tamir\5.wav,25.832690273411572
training_set\Ron\0.wav,class_reprentative\Tamir\6.wav,31.05815045069903
