TrainingFile,DBFile,DTWDistance
training_set\Sheli\5.wav,class_reprentative\Tamir\8.wav,15.919099124349316
training_set\Sheli\5.wav,class_reprentative\Tamir\9.wav,27.295463982517692
training_set\Sheli\6.wav,class_reprentative\Tamir\0.wav,30.68422926844995
training_set\Sheli\6.wav,class_reprentative\Tamir\1.wav,22.218120695464307
training_set\Sheli\6.wav,class_reprentative\Tamir\2.wav,23.727852234092342
training_set\Sheli\6.wav,class_reprentative\Tamir\3.wav,22.79621576713314
training_set\Sheli\6.wav,class_reprentative\Tamir\4.wav,20.28419111486967
training_set\Sheli\6.wav,class_reprentative\Tamir\5.wav,23.087484381048455
training_set\Sheli\6.wav,class_reprentative\Tamir\6.wav,32.63400168433058
training_set\Sheli\6.wav,class_reprentative\Tamir\7.wav,29.419982168248257
training_set\Sheli\6.wav,class_reprentative\Tamir\8.wav,22.349351906401033
training_set\Sheli\6.wav,class_reprentative\Tamir\9.wav,35.985102070536065
training_set\Sheli\7.wav,class_reprentative\Tamir\0.wav,29.05996164603392
training_set\Sheli\7.wav,class_reprentative\Tamir\1.wav,23.707238476033098
training_set\Sheli\7.wav,class_reprentative\Tamir\2.wav,32.091184574245545
training_set\Sheli\7.wav,class_reprentative\Tamir\3.wav,30.55221223919209
training_set\Sheli\7.wav,class_reprentative\Tamir\4.wav,16.404366186659214
training_set\Sheli\7.wav,class_reprentative\Tamir\5.wav,17.348674309260847
training_set\Sheli\7.wav,class_reprentative\Tamir\6.wav,31.208785803369487
training_set\Sheli\7.wav,class_reprentative\Tamir\7.wav,25.159811720339324
training_set\Sheli\7.wav,class_reprentative\Tamir\8.wav,17.88553847304237
training_set\Sheli\7.wav,class_reprentative\Tamir\9.wav,35.26978561736948
training_set\Sheli\8.wav,class_reprentative\Tamir\0.wav,24.98327087078399
training_set\Sheli\8.wav,class_reprentative\Tamir\1.wav,20.36835918925047
training_set\Sheli\8.wav,class_reprentative\Tamir\2.wav,28.32614298851682
training_set\Sheli\8.wav,class_reprentative\Tamir\3.wav,25.11401632353489
training_set\Sheli\8.wav,class_reprentative\Tamir\4.wav,16.95001847689859
training_set\Sheli\8.wav,class_reprentative\Tamir\5.wav,19.69784342074566
training_set\Sheli\8.wav,class_reprentative\Tamir\6.wav,31.057216240324827
training_set\Sheli\8.wav,class_reprentative\Tamir\7.wav,23.700032903021985
training_set\Sheli\8.wav,class_reprentative\Tamir\8.wav,19.96298443067328
